DATE,prob_percent
2026-03-12,0.01
2026-03-15,0.02
2026-03-16,0.08
2026-03-17,0.11
2026-03-18,0.2
2026-03-19,0.42
2026-03-20,0.66
2026-03-21,0.96
2026-03-22,1.38
2026-03-23,2.2
2026-03-24,3.09
2026-03-25,5.16
2026-03-26,6.87
2026-03-27,8.98
2026-03-28,9.24
2026-03-29,9.97
2026-03-30,10.36
2026-03-31,9.52
2026-04-01,7.94
2026-04-02,6.24
2026-04-03,5.14
2026-04-04,3.68
2026-04-05,2.67
2026-04-06,1.76
2026-04-07,1.17
2026-04-08,0.78
2026-04-09,0.56
2026-04-10,0.21
2026-04-11,0.27
2026-04-12,0.17
2026-04-13,0.05
2026-04-14,0.06
2026-04-15,0.02
2026-04-16,0.04
2026-04-17,0.01
